Season,Name,Team,playerid
1922,Harry Courtney,- - -,1002678
1993,Trevor Hoffman,- - -,1035
2016,Josh Fields,- - -,5070
1952,Randy Gumpert,- - -,1005143
1964,Mike Cuellar,Cardinals,1002853
1935,Jim Bivin,Phillies,1001002
1997,Manny Aybar,Cardinals,1107
1995,Mark Gardner,Marlins,1004529
1981,Ken Clay,Mariners,1002328
2007,Jamey Wright,Rangers,715
1915,King Lear,Reds,1007434
2005,Brandon Medders,Diamondbacks,8604
1984,Randy Lerch,Giants,1007551
2015,Chad Qualls,Astros,2170
1966,Bob Hendley,Cubs,1005637
2011,Craig Breslow,Athletics,4363
1921,Al Mamaux,Robins,1008049
2004,Chris Capuano,Brewers,1701
2013,B.J. Rosenberg,Phillies,7183
2014,Ronald Belisario,White Sox,2203
1976,Dave Tomlin,Padres,1013110
2020,Lucas Sims,Reds,13470
1999,Gil Meche,Mariners,1089
1938,Al Williams,Athletics,1013970
1997,Roger Pavlik,Rangers,1010087
1921,Fritz Coumbe,Reds,1002675
1918,Babe Adams,Pirates,1000041
1987,Manny Hernandez,Astros,1005708
1942,Bill Fleming,Cubs,1004144
1989,Roger McDowell,- - -,1008475
1978,Bill Paschall,Royals,1010037
1990,Steve Chitren,Athletics,1002199
1982,Salome Barojas,White Sox,1000584
1926,Lefty Willis,Athletics,1014016
2018,Adam Conley,Marlins,14457
1975,Dick Ruthven,Phillies,1011330
1987,Doug Sisk,Mets,1012017
1991,Mel Rojas,Expos,1011153
2019,Emmanuel Clase,Rangers,21032
1998,Dan Serafini,Twins,1812
1986,Gene Walter,Padres,1013587
1979,Jim Clancy,Blue Jays,1002255
2003,Rick Helling,- - -,58
2004,Scott Williamson,Red Sox,361
1983,Jon Matlack,Rangers,1008246
2007,Chris Ray,Orioles,6315
2004,Brian Sweeney,Padres,1801
1957,Dean Stone,- - -,1012561
2011,Casey Coleman,Cubs,8270
2004,Scott Downs,Expos,773
1925,Claude Willoughby,Phillies,1014046
1992,Rod Nichols,Indians,1009569
1968,Tommie Sisk,Pirates,1012018
2005,Fernando Rodney,Tigers,494
2020,Joely Rodriguez,Rangers,11487
1937,Lou Koupal,Browns,1007126
1991,Mo Sanford,Reds,1011433
1977,Nelson Briles,- - -,1001432
2015,Enny Romero,Rays,4001
2019,Miguel Castro,Orioles,15684
2009,Zach Miner,Tigers,3193
2017,Dan Otero,Indians,7385
1983,Roy Lee Jackson,Blue Jays,1006311
1990,Bill Gullickson,Astros,1005136
1997,Dwight Gooden,Yankees,1004852
1909,Roy Witherup,Senators,1014165
2014,Jeremy Jeffress,- - -,9490
2000,Mike Williams,Pirates,1014
1990,Scott Radinsky,White Sox,1010641
1934,Alex McColl,Senators,1008404
2008,Horacio Ramirez,- - -,110
2016,Zach Putnam,White Sox,9080
2001,Luke Prokopec,Dodgers,1320
1874,Dan Collins,White Stockings,1002448
2004,Justin Speier,Blue Jays,451
2015,Miguel Socolovich,Cardinals,6697
1995,Joe Grahe,Rockies,1004939
1922,George Winn,Indians,1014138
1925,Oscar Fuhr,Red Sox,1004387
1922,Roy Moore,- - -,1009126
1989,Steve Crawford,Royals,1002749
1941,Joe Heving,Indians,1005758
1994,Randy Tomlin,Pirates,1013111
2007,Ryan Madson,Phillies,1852
1961,Phil Regan,Tigers,1010785
1968,Phil Regan,- - -,1010785
2000,Jon Garland,White Sox,232
1996,Rich Batchelor,Cardinals,1000652
2017,Danny Farquhar,- - -,8501
2012,Nick Vincent,Padres,7555
2015,Franklin Morales,Royals,5088
1914,Jack Bentley,Senators,1000852
2014,Jeff Beliveau,Rays,8504
2016,Bruce Rondon,Tigers,5766
1955,Bunky Stewart,Senators,1012518
1976,Ron Schueler,Phillies,1011622
2016,Deolis Guerra,Angels,8410
1964,Don Rudolph,Senators,1011285
2012,Charlie Morton,Pirates,4676
1981,Tom Brennan,Indians,1001392
1960,Bill Henry,Reds,1005665
1968,Larry Jaster,Cardinals,1006367
1984,Gary Lucas,Expos,1007805
1942,Dutch Dietz,Pirates,1003291
1969,Alan Foster,Dodgers,1004246
1922,Clyde Barfoot,Cardinals,1000539
1997,Eddie Guardado,Twins,727
2003,Grant Roberts,Mets,894
1965,Lew Burdette,- - -,1001662
2014,Josh Edgin,Mets,10796
1973,Joe Hoerner,- - -,1005895
2018,Pablo Lopez,Marlins,17085
1958,Jim Hearn,Phillies,1005556
2013,Kevin Gausman,Orioles,14107
2002,Valerio de los Santos,Brewers,681
2019,Sean Newcomb,Braves,16943
1947,Bucky Walters,Reds,1013583
2016,Brett Cecil,Blue Jays,2660
2008,Doug Waechter,Marlins,1814
2002,Darrell May,Royals,613
2006,Doug Waechter,Devil Rays,1814
1995,Mike Christopher,Tigers,1002220
1951,Ken Heintzelman,Phillies,1005596
2007,Lance Broadway,White Sox,9885
1971,Joe Moeller,Dodgers,1009023
1988,Donn Pall,White Sox,1009968
2000,Ryan Kohlmeier,Orioles,1007082
1882,John Reccius,Eclipse,1010746
1933,Bill Harris,Pirates,1005396
2012,Joe Thatcher,Padres,4620
2020,Jordan Romano,Blue Jays,16122
2012,Jhoulys Chacin,Rockies,2608
1915,Ad Brennan,Whales,1001387
1952,Max Lanier,Giants,1007325
1996,Ricardo Jordan,Phillies,1006616
1987,Paul Mirabella,Brewers,1008989
1875,Henry Luff,Elm Citys,1007822
1967,Steve Blass,Pirates,1001058
2011,Dallas Braden,Athletics,8099
1928,Fred Frankhouse,Cardinals,1004297
1998,Danny Graves,Reds,326
2001,Mike Venafro,Rangers,943
2008,Garrett Mock,Nationals,7335
1988,Ramon Martinez,Dodgers,1008193
1924,Dutch Stryker,Braves,1012637
1982,Brian Denman,Red Sox,1003205
1979,Roger Erickson,Twins,1003812
1999,Mike Munoz,Rangers,1009328
1943,Jack Salveson,Indians,1011390
1933,Allyn Stout,- - -,1012582
1913,George Mullin,- - -,1009302
1989,Tim Birtsas,Reds,1000985
2016,Fernando Rodney,- - -,494
2002,Guillermo Mota,Dodgers,1467
1950,Steve Nagy,Senators,1009440
2015,Christian Bergman,Rockies,10925
2006,Sean Marshall,Cubs,5905
1909,Fred Olmstead,White Sox,1009786
2011,Dylan Axelrod,White Sox,9303
1924,Paul Zahniser,Senators,1014411
1928,Claude Willoughby,Phillies,1014046
1983,Steve McCatty,Athletics,1008383
1982,Mark Eichhorn,Blue Jays,1003712
1994,Tony Castillo,Blue Jays,1002069
2002,Mike DeJean,Brewers,682
2000,Chad Bradford,White Sox,904
2008,Brian Shouse,Brewers,630
1954,Mike Fornieles,White Sox,1004232
1948,Elmer Singleton,Pirates,1012009
2002,Bronson Arroyo,Pirates,978
1919,Slim Love,Tigers,1007775
1943,Ewald Pyle,Senators,1010582
1891,Matt Kilroy,Kelly's Killers,1006910
1911,Eddie Stack,Phillies,1012373
1992,Brad Brink,Phillies,1001436
2013,Daisuke Matsuzaka,Mets,7775
1986,Mickey Mahler,- - -,1007987
1923,Firpo Marberry,Senators,1008100
1965,Rudy May,Angels,1008310
1940,Dizzy Dean,Cubs,1003106
1964,Hal Reniff,Yankees,1010833
1954,Howie Judson,Redlegs,1006646
1968,Steve Hargan,Indians,1005356
2006,Adam Eaton,Rangers,1029
2003,Danny Patterson,Tigers,485
1945,Bob Chipman,Cubs,1002195
1997,Brady Raggio,Cardinals,1750
1966,Fred Talbot,- - -,1012813
1981,John Candelaria,Pirates,1001909
1899,Harvey Bailey,Beaneaters,1000424
2012,Clay Rapada,Yankees,4831
1966,Jay Ritchie,Braves,1010988
1915,Lynn Brenton,Indians,1001394
1998,Shigetoshi Hasegawa,Angels,1082
1978,Grant Jackson,Pirates,1006298
1999,Mike Lincoln,Twins,1457
1955,Tom Gorman,Athletics,1004886
2006,Darrell Rasner,Yankees,4770
1930,Tiny Chaplin,Giants,1002140
2008,Jeremy Sowers,Indians,9083
1937,Nub Kleinke,Cardinals,1006994
1957,Bob Lemon,Indians,1007517
2020,Travis Lakins,Orioles,18600
1937,Kemp Wicker,Yankees,1013919
2016,Tyler Wagner,Diamondbacks,13796
2020,Trevor Rogers,Marlins,22286
1964,Dennis Ribant,Mets,1010890
1980,Frank LaCorte,Astros,1007239
1978,Skip Lockwood,Mets,1007696
1965,Gerry Arrigo,Reds,1000326
2010,Jeff Karstens,Pirates,5879
1905,Ambrose Puttmann,Highlanders,1010578
2018,Max Fried,Braves,13743
1991,Tim Burke,- - -,1001692
1967,Ron Reed,Braves,1010773
2014,Ubaldo Jimenez,Orioles,3374
2005,Matt Belisle,Reds,1837
2017,Oliver Perez,Nationals,1514
1921,Buddy Napier,Reds,1009446
1986,Steve Crawford,Red Sox,1002749
1902,Rube Kisinger,Tigers,1006977
1889,Hank O'Day,- - -,1009721
1894,Hank Gastright,Grooms,1004569
1918,George McQuillan,Indians,1008682
1957,Taylor Phillips,Braves,1010298
2008,Kyle McClellan,Cardinals,4845
1921,Al Schacht,Senators,1011503
1919,Paul Musser,Red Sox,1009408
1996,Rick Helling,- - -,58
2005,Dave Williams,Pirates,1013
1957,Art Ceccarelli,Orioles,1002096
1961,Lew Krausse,Athletics,1007146
1997,Darren Hall,Dodgers,1005240
2018,Josh James,Astros,16794
1918,Oscar Tuero,Cardinals,1013216
1969,Joe Decker,Cubs,1003127
2020,Dakota Hudson,Cardinals,19206
1919,Tom Zachary,Senators,1014405
2004,Luis Vizcaino,Brewers,714
2018,Doug Fister,Rangers,9425
1983,Randy Moffitt,Blue Jays,1009027
1982,Bruce Hurst,Red Sox,1006222
1893,Bill Quarles,Beaneaters,1010589
2004,Alan Embree,Red Sox,1030
2009,Franklin Morales,Rockies,5088
1965,Ron Perranoski,Dodgers,1010201
1970,Floyd Weaver,White Sox,1013697
1951,Dick Fowler,Athletics,1004270
1970,Wayne Granger,Reds,1004945
2018,Silvino Bracho,Diamondbacks,15051
2015,Jake Petricka,White Sox,10534
2007,Mike Stanton,Reds,849
1991,Scott Scudder,Reds,1011699
1976,Ken Kravec,White Sox,1007147
1948,Tom Ferrick,Senators,1004014
2000,John Wetteland,Rangers,1013815
1999,Joe Grahe,Phillies,1004939
1997,Gabe White,Reds,360
1996,Steve Parris,Pirates,1316
1968,Tony Cloninger,- - -,1002359
1986,Mike Birkbeck,Brewers,1000981
2003,Dave Veres,Cubs,1188
1956,Larry Jansen,Redlegs,1006358
1964,Ray Culp,Phillies,1002869
1942,Roy Henshaw,Tigers,1005678
1920,Walt Kinney,Athletics,1006947
1935,George Hockette,Red Sox,1005876
1891,George Keefe,Statesmen,1006741
2001,Joe Beimel,Pirates,979
1949,Rip Sewell,Pirates,1011768
1940,Bill Butland,Red Sox,1001767
1951,Johnny Schmitz,- - -,1011585
1989,Shawn Hillegas,White Sox,1005818
1940,John Whitehead,Browns,1013882
1980,John Montefusco,Giants,1009065
2013,Bruce Rondon,Tigers,5766
2001,John Wasdin,- - -,1768
2003,Oliver Perez,- - -,1514
1954,Gus Keriazakos,Senators,1006861
2004,Todd Van Poppel,Reds,1284
2013,Brian Wilson,Dodgers,6485
1968,Vicente Romo,- - -,1011177
2020,Tanner Scott,Orioles,17586
2000,Turk Wendell,Mets,975
2007,Joe Kennedy,- - -,1217
1996,Bryce Florie,- - -,1004172
1900,Al Maul,Phillies,1008273
2018,Luis Cessa,Yankees,13345
1941,Tot Pressnell,Cubs,1010524
1906,Walter Moser,Phillies,1009241
1920,Lynn Brenton,Reds,1001394
1884,Jim McElroy,- - -,1008478
1890,Charlie Sprague,Maumees,1012354
1979,Rich Hinton,- - -,1005854
1990,Jose Nunez,Cubs,1009659
1946,Bill Dietrich,White Sox,1003289
1910,Ben Demott,Naps,1003200
1902,Frank Morrissey,Orphans,1009206
2006,Kason Gabbard,Red Sox,3418
1961,Terry Fox,Tigers,1004284
2009,Tim Redding,Mets,573
1987,Jeff Calhoun,Phillies,1001835
1922,Allan Russell,Red Sox,1011310
2020,Trevor Cahill,Giants,6249
1983,Jeff Heathcock,Astros,1005561
2013,Matt Reynolds,Diamondbacks,8887
1947,Al Benton,Tigers,1000853
2015,Matt Garza,Brewers,3340
1996,Mike Henneman,Rangers,1005656
1905,Ed Kinsella,Pirates,1006950
1992,Mike Boddicker,Royals,1001111
1972,Dave Downs,Phillies,1003452
1982,Dave Stewart,Dodgers,1012519
2002,Bob Howry,- - -,237
2020,John Curtiss,Rays,16128
2015,Matt Andriese,Rays,12022
2013,Robert Coello,Angels,1149
1954,Camilo Pascual,Senators,1010039
1976,Roger Moret,Braves,1009168
1967,Casey Cox,Senators,1002694
1976,Glenn Abbott,Athletics,1000010
1906,Len Swormstedt,Americans,1012797
1990,Scott Ruskin,- - -,1011309
2015,David Hale,Rockies,9756
1973,Andy Hassler,Angels,1005480
1923,Rasty Wright,Browns,1014291
1923,George Smith,Robins,1012144
1958,John Romonosky,Senators,1011176
2000,Dan Plesac,Diamondbacks,1319
1978,Mickey Lolich,Padres,1007712
2001,Dave Williams,Pirates,1013
2009,Cesar Ramos,Padres,3357
1982,Ed Glynn,Indians,1004789
1973,Tom Hall,Reds,1005262
1932,Glenn Spencer,Pirates,1012323
2019,Jon Duplantier,Diamondbacks,19546
1939,Emerson Dickman,Red Sox,1003277
1963,Dan Osinski,Angels,1009875
1973,Steve Kline,Yankees,1007005
2015,Huston Street,Angels,8258
1941,Roger Wolff,Athletics,1014193
1999,Paul Spoljaric,- - -,1012349
2019,Andres Munoz,Padres,20373
1982,Neal Heaton,Indians,1005568
1994,Hector Fajardo,Rangers,1003908
1984,Aurelio Lopez,Tigers,1007753
1917,Grover Lowdermilk,Browns,1007784
1891,Buck Freeman,Statesmen,1004316
1943,Ace Adams,Giants,1000040
1923,Roy Meeker,Athletics,1008723
2007,Shane Youman,Pirates,3888
2020,Kolby Allard,Rangers,18694
1925,Rosy Ryan,Braves,1011349
2008,Nelson Figueroa,Mets,683
1903,Libe Washburn,Phillies,1013651
2014,Rubby de la Rosa,Red Sox,3862
1995,Jason Jacome,- - -,1006330
2007,Jack Cassel,Padres,3052
1968,Danny Frisella,Mets,1004365
1912,Harry Gaspar,Reds,1004560
1967,Gerry Arrigo,Reds,1000326
2011,Cory Wade,Yankees,7570
1984,Bruce Kison,Angels,1006978
1972,Frank Reberger,Giants,1010745
1946,Hal Schumacher,Giants,1011648
2016,Trevor May,Twins,6398
1995,Alan Benes,Cardinals,265
2007,J.P. Howell,Devil Rays,8245
1952,Mike Fornieles,Senators,1004232
1878,Laurie Reis,White Stockings,1010818
1884,Al McCauley,Hoosiers,1008384
1975,Jamie Easterly,Braves,1003639
2011,Matt Moore,Rays,1890
1884,John Ryan,Monumentals,1011343
1894,John Malarkey,Senators,1008011
1949,Blix Donnelly,Phillies,1003381
1995,David Weathers,Marlins,902
2007,Steve Trachsel,- - -,898
1910,Harry Fanwell,Naps,1003927
2006,Chris Sampson,Astros,2651
2001,Jay Powell,- - -,1271
2014,Brad Hand,Marlins,9111
1986,Alejandro Pena,Dodgers,1010140
2013,Josh Johnson,Blue Jays,4567
2000,Jose Mesa,Mariners,961
2002,Mike Williams,Pirates,1014
2016,Andrew Cashner,- - -,8782
1911,Rube Geyer,Cardinals,1004650
1994,Dave Veres,Astros,1188
2009,Hong-Chih Kuo,Dodgers,7016
2017,Peter Moylan,Royals,4891
1970,Hoyt Wilhelm,- - -,1013945
2011,Kerry Wood,Cubs,304
1973,Tom Hilgendorf,Indians,1005806
2000,Wayne Gomes,Phillies,191
1980,Dewey Robinson,White Sox,1011060
2017,Kirby Yates,- - -,9073
2006,Chad Paronto,Braves,399
1981,Mike Jones,Royals,1006577
1914,Dave Black,Chi-Feds,1001009
1941,Lefty Wilkie,Pirates,1013958
2015,Matt Thornton,Nationals,1918
1980,Joe Price,Reds,1010530
2007,Russ Ortiz,Giants,1124
1955,Leo Cristante,Tigers,1002778
1912,Bill Burns,Tigers,1001701
2015,Will Harris,Astros,3192
2009,Trevor Cahill,Athletics,6249
2019,Jose Alvarez,Phillies,5358
1881,Blondie Purcell,Bisons,1010569
1908,George Suggs,Tigers,1012673
1999,Bill Simas,White Sox,1011977
2003,Jesse Foppert,Giants,1688
2015,Jordan Walden,Cardinals,3271
1900,Tom Hughes,Orphans,1006163
1994,Tim Mauser,Padres,1008281
2016,Bryan Mitchell,Yankees,11479
1988,Trevor Wilson,Giants,1014109
1977,Dan Schatzeder,Expos,1011527
2008,Chad Bradford,- - -,904
1959,Billy Hoeft,- - -,1005893
2007,Oscar Villarreal,Braves,1654
1994,Carlos Reyes,Athletics,1721
1999,Bryan Rekar,Devil Rays,625
1991,Don August,Brewers,1000364
1980,Silvio Martinez,Cardinals,1008196
1961,Craig Anderson,Cardinals,1000221
1980,Dickie Noles,Phillies,1009620
1914,Dwight Stone,Packers,1012563
1994,John Dopson,Angels,1003404
2003,Will Cunnane,Braves,274
1935,Jack Russell,Senators,1011313
1954,Marv Grissom,Giants,1005074
1906,Frank Smith,White Sox,1012139
1999,Pete Schourek,Pirates,1011608
1973,Jackie Brown,Rangers,1001522
1947,Clyde King,Dodgers,1006925
2014,Liam Hendriks,- - -,3548
1913,Wilbur Cooper,Pirates,1002602
1926,Dixie Leverett,White Sox,1007564
2013,Ryan Pressly,Twins,7005
2008,Ron Mahay,Royals,290
1962,Jack Hamilton,Phillies,1005274
2010,Jordan Walden,Angels,3271
2014,Matt Belisle,Rockies,1837
2017,Michael Feliz,Astros,11903
1963,Grover Powell,Mets,1010485
1934,Jesse Haines,Cardinals,1005209
2007,Jason Jennings,Astros,434
1967,Joe Hoerner,Cardinals,1005895
1986,Doug Bair,Athletics,1000439
1901,Fred Mitchell,Americans,1009001
1932,Chad Kimsey,- - -,1006920
1911,Hank Griffin,- - -,1005042
1963,Jim Umbricht,Colt .45's,1013277
1926,Myles Thomas,Yankees,1012988
1975,Rob Dressler,Giants,1003495
1927,Guy Cantrell,- - -,1001920
2020,Scott Barlow,Royals,14993
1998,Jason Bere,- - -,266
1997,Jeff Montgomery,Royals,1009071
1927,Johnny Morrison,Pirates,1009217
1941,Vallie Eaves,Cubs,1003652
1929,Jim Lindsey,Cardinals,1007632
2006,Kip Wells,- - -,1012
1963,Fred Gladding,Tigers,1004751
1906,Irv Higginbotham,Cardinals,1005790
2008,Robinson Tejeda,- - -,2575
1985,Keith Creel,Indians,1002758
2010,Scott Olsen,Nationals,4529
1940,Floyd Giebell,Tigers,1004679
1963,Bob Anderson,Tigers,1000219
1990,Russ Swan,- - -,1012758
1884,Sam Weaver,Keystones,1013705
1976,Al Downing,Dodgers,1003450
1986,Jerry Reed,Mariners,1010769
1977,Jim Willoughby,Red Sox,1014047
1992,David Wells,Blue Jays,855
1912,Harry McIntire,Cubs,1008571
2002,Sterling Hitchcock,Yankees,824
1995,Pedro Borbon,Braves,1289
1983,Kevin Hagen,Cardinals,1005197
1976,Darold Knowles,Cubs,1007058
1987,Paul Kilgus,Rangers,1006899
1923,Mule Watson,- - -,1013682
2014,Brandon Morrow,Blue Jays,9346
1976,Bob Forsch,Cardinals,1004233
1970,Ron Taylor,Mets,1012885
1934,Whitey Wilshere,Athletics,1014058
1971,Don Carrithers,Giants,1001992
1997,Jim Pittsley,Royals,1010379
2019,Rafael Montero,Rangers,12760
2002,Bobby Jones,Padres,1039
1972,Lerrin LaGrow,Tigers,1007255
2019,Zac Grotz,Mariners,18256
2016,Corey Knebel,Brewers,15010
1996,Rich Garces,Red Sox,189
2004,Buddy Groom,Orioles,143
1972,Ray Sadecki,Mets,1011360
1996,Mike Williams,Phillies,1014
1936,Harry Matuzak,Athletics,1008270
1964,Bobby Tiefenauer,Braves,1013057
1961,Chet Nichols,Red Sox,1009557
2005,Eric Gagne,Dodgers,650
1999,Ron Mahay,Athletics,290
1921,Lefty Tyler,Cubs,1013252
1993,Steve Ontiveros,Mariners,1009826
1993,Jeff Ballard,Pirates,1000490
2018,Kohl Stewart,Twins,15502
1919,Ferdie Schupp,- - -,1011649
1998,Armando Benitez,Orioles,865
1988,Dan Quisenberry,- - -,1010622
2016,Bryan Shaw,Indians,8110
1909,Larry Pape,Red Sox,1009984
1983,Andy Hassler,Angels,1005480
1909,Harry Ables,Naps,1000023
2008,Jared Burton,Reds,8346
1915,Karl Adams,Cubs,1000057
2003,Rod Beck,Padres,1730
2007,Frank Francisco,Rangers,1933
1997,Ken Cloude,Mariners,1002362
1980,Ralph Botting,Angels,1001227
1988,Rick Honeycutt,Athletics,1005992
2001,Ed Vosberg,Phillies,1426
1925,Sarge Connally,White Sox,1002513
1970,Lloyd Allen,Angels,1000152
1900,Gus Weyhing,- - -,1013820
2014,Tim Stauffer,Padres,6432
1945,Glenn Gardner,Cardinals,1004524
1994,Jeff Shaw,Expos,1011823
1972,Clay Carroll,Reds,1001997
1996,Mark Eichhorn,Angels,1003712
1973,Craig Skok,Red Sox,1012041
2010,Eric O'Flaherty,Braves,5746
1875,John Cassidy,Atlantics,1002052
1996,Jason Dickson,Angels,1003278
1890,Bob Gilks,Spiders,1004707
2010,Brian Burres,Pirates,3425
2012,Ricky Romero,Blue Jays,3403
2008,Ramon Troncoso,Dodgers,4685
1877,Laurie Reis,White Stockings,1010818
1885,Hank O'Day,Alleghenys,1009721
1985,Tom Filer,Blue Jays,1004040
1942,Al Milnar,Indians,1008962
1903,Happy Townsend,Senators,1013145
1984,Ron Robinson,Reds,1011076
2011,Frank Francisco,Blue Jays,1933
1903,John Deering,- - -,1003136
1986,Jesse Orosco,Mets,667
2008,John Grabow,Pirates,1848
1996,Doug Bochtler,Padres,1001107
1970,Tony Cloninger,Reds,1002359
1946,Tom Ferrick,- - -,1004014
1995,Randy Myers,Cubs,1009427
1949,Bill McCahan,Athletics,1008355
1995,Steve Parris,Pirates,1316
1925,George Milstead,Cubs,1008968
2009,Rodrigo Lopez,Phillies,150
1994,Hector Carrasco,Reds,1240
1912,Cy Morgan,Athletics,1009174
1972,Fred Gladding,Astros,1004751
1945,Al Smith,Indians,1012089
2018,Adam Morgan,Phillies,12580
1940,Ed Heusser,Athletics,1005756
1915,Bill Morrisette,Athletics,1009199
2020,Oliver Perez,Indians,1514
1960,Paul Foytack,Tigers,1004287
1938,Roxie Lawson,Tigers,1007406
1905,Joe Harris,Americans,1005420
1937,Monte Weaver,Senators,1013702
1902,Andy Coakley,Athletics,1002372
1920,Dick Niehaus,Indians,1009580
1982,Steve Baker,Athletics,1000467
1912,Boardwalk Brown,Athletics,1001494
1995,Mike Trombley,Twins,758
1993,Steve Bedrosian,Braves,1000766
2008,Dennys Reyes,Twins,444
2019,Jonathan Holder,Yankees,16588
1913,Joe Engel,Senators,1003777
2005,Danys Baez,Devil Rays,367
1993,Jerry Spradlin,Reds,1012353
2013,Tommy Hanson,Angels,9129
1980,Dick Tidrow,Cubs,1013056
1944,Earl Henry,Indians,1005671
2019,Fernando Rodney,- - -,494
2007,Juan Oviedo,Royals,2886
2001,Jose Cabrera,Braves,679
2008,Phil Hughes,Yankees,7450
2014,Mike Adams,Phillies,1937
1924,Flint Rhem,Cardinals,1010878
1955,Gordon Jones,Cardinals,1006558
2006,Adam Bernero,- - -,460
2003,Rafael Betancourt,Indians,177
1902,Bob Rhoads,Orphans,1010881
1906,Ed Willett,Tigers,1013966
1958,Johnny Klippstein,- - -,1007013
2013,Shawn Kelley,Yankees,7773
2007,Santiago Casilla,Athletics,2873
2010,Ernesto Frieri,Padres,5178
2004,Denny Bautista,- - -,1947
2018,Greg Holland,- - -,7196
1941,Chubby Dean,- - -,1003105
2009,Sammy Gervacio,Astros,5127
1926,George Milstead,Cubs,1008968
2017,Blaine Boyer,Red Sox,2237
2003,Kevin Gregg,Angels,1793
1999,Donovan Osborne,Cardinals,299
1938,Emerson Dickman,Red Sox,1003277
1988,Tom Gordon,Royals,282
2010,Brad Lidge,Phillies,563
1960,Fred Green,Pirates,1004993
1942,Schoolboy Rowe,- - -,1011259
1989,Curt Young,Athletics,1014368
1924,Pedro Dibut,Reds,1003270
1973,Clay Carroll,Reds,1001997
1941,Mike Ryba,Red Sox,1011351
1960,Chris Short,Phillies,1011931
2014,Anthony Varvaro,Braves,2385
1985,Doug Bair,- - -,1000439
1992,Keith Shepherd,Phillies,1011866
1909,Dode Criss,Browns,1002775
1964,Masanori Murakami,Giants,1009336
1998,Brian Bevil,Royals,1000939
1992,Bryan Harvey,Angels,1005469
1993,Kip Gross,Dodgers,1005089
2004,Darren Dreifort,Dodgers,647
1945,Lon Warneke,Cubs,1013637
2016,Carlos Estevez,Rockies,14542
1997,Jose Lima,Astros,475
1918,Grover Lowdermilk,Browns,1007784
2010,Brandon League,Mariners,3731
2009,Sidney Ponson,Royals,161
2006,Roberto Hernandez,Indians,3273
1958,Roger Craig,Dodgers,1002723
1994,Nate Minchey,Red Sox,1008975
1936,Jack Russell,- - -,1011313
1931,Gordon Rhodes,Yankees,1010885
1976,Tippy Martinez,- - -,1008200
1965,Dallas Green,Senators,1004989
1895,Andy Boswell,- - -,1001221
2012,Andrew Werner,Padres,11783
2020,Josh Staumont,Royals,18335
2018,Nick Wittgren,Marlins,15594
2020,Seth Lugo,Mets,12447
1997,Eric Gunderson,Rangers,1005144
2001,Jim Brower,Reds,313
1952,Ron Necciai,Pirates,1009478
2004,Al Reyes,Cardinals,1005
2007,Kerry Wood,Cubs,304
1886,Phenomenal Smith,Wolverines,1012192
2014,Jason Frasor,- - -,1906
1933,Herb Pennock,Yankees,1010161
1988,Ken Howell,Dodgers,1006100
1891,Ed Seward,Spiders,1011763
1951,Bill Kennedy,Browns,1006834
2011,Nick Masset,Reds,7267
1947,Paul Erickson,Cubs,1003810
2015,Ryan Mattheus,- - -,7169
1995,Doug Johns,Athletics,1006449
1985,Matt Williams,Rangers,1014021
1979,Catfish Hunter,Yankees,1006199
1985,Mike Trujillo,Red Sox,1013205
1969,Phil Hennigan,Indians,1005658
2011,Joey Devine,Athletics,9862
1975,Nelson Briles,Royals,1001432
1984,Mark Davis,Giants,1003067
1987,Bob Tewksbury,- - -,1012941
1998,Keith Foulke,White Sox,231
1956,Dick Hall,Pirates,1005241
